T [r = 1.1 + s = 0.25],P(t)(N=100)[r = 1.1 + s = 0.25],P(t) (N=1000)[r = 1.1 + s = 0.25],P(t) (N=10000)[r = 1.1 + s = 0.25],T [r = -1.0 + s = -0.5],P(t)(N=100)[r = -1.0 + s = -0.5],P(t) (N=1000)[r = -1.0 + s = -0.5],P(t) (N=10000)[r = -1.0 + s = -0.5],T [r = -1.0 + s = -1.0],P(t)(N=100) [r = -1.0 + s = -1.0],P(t) (N=1000) [r = -1.0 + s = -1.0],P(t) (N=10000) [r = -1.0 + s = -1.0]
691.7,0.001024457875007633,0.800818599691328,0.993865445410854,29.69,0.002634214868620193,0.152931644636159,0.5522248316737074,15.49,3.501060409615814e-14,3.51191086032979e-14,3.512018670972028e-14
697.78,0.000964489339553721,0.7992795729291624,0.993814020045596,29.81,0.002571734169864963,0.1517753660697889,0.550901081187204,15.54,3.167858472071545e-14,3.177708037145302e-14,3.177805903158352e-14
703.92,0.0009074908158910155,0.7977283600378103,0.9937620898935899,29.93,0.002510735445022884,0.1506278298413843,0.5495805038925783,15.59,2.866367935701138e-14,2.875308847784822e-14,2.875397685557607e-14
710.11,0.0008534372844033464,0.7961675625149693,0.9937097396043716,30.06,0.002446285111182815,0.1493944544291204,0.548153450527203,15.63,2.645969720811332e-14,2.654244385748824e-14,2.654326603776891e-14
716.35,0.0008022053472377733,0.7945972484472283,0.9936569692446252,30.18,0.002388261900957264,0.1482649196882763,0.5468394596394432,15.68,2.394148234030831e-14,2.401659396431766e-14,2.401734028383714e-14
722.65,0.0007536001446199991,0.7930149771952442,0.9936036943204591,30.31,0.002326955451040629,0.1470508923293389,0.5454195237325629,15.73,2.166293031031112e-14,2.173111069741122e-14,2.173178814878472e-14
729,0.0007075888170464873,0.7914233365826762,0.9935499994698638,30.43,0.002271762609983793,0.1459390766853592,0.5441120864018272,15.77,1.999724353290626e-14,2.006034190348878e-14,2.006096886030452e-14
735.41,0.0006639913598951465,0.7898198967875369,0.9934958002093018,30.56,0.002213446685496771,0.1447440938653733,0.5426992324549686,15.82,1.809407149039918e-14,1.815134615592518e-14,1.81519152487043e-14
741.88,0.0006227093346834623,0.7882047425309102,0.9934410966216398,30.69,0.002156627725100021,0.143558895840334,0.541290047157135,15.87,1.637202760275112e-14,1.642401554556355e-14,1.642453210961932e-14
748.4,0.0005837042973609987,0.7865804477049975,0.9933859733330842,30.82,0.002101267301871448,0.1423834024900834,0.5398845209822277,15.92,1.48138735921028e-14,1.486106233244072e-14,1.486153121165394e-14
754.98,0.000546816845963261,0.7849445989750794,0.9933303458759897,30.94,0.00205142753714443,0.1413068765892613,0.5385903517302949,15.96,1.367481839453483e-14,1.371848846517231e-14,1.37189223828369e-14
761.62,0.0005119556739570668,0.783297282413019,0.9932742143353974,31.07,0.00199876759247373,0.140149823292055,0.5371918356465701,16.01,1.237336242076458e-14,1.241300043964365e-14,1.241339429470754e-14
768.3200000000001,0.0004790317683686692,0.7816385845632726,0.993217578797116,31.2,0.001947459423443411,0.1390022442141145,0.5357969509818451,16.06,1.119576824923506e-14,1.12317461435909e-14,1.123210363145244e-14
775.0700000000001,0.0004480029130665696,0.77997106020087,0.993160523871106,31.33,0.001897468330104711,0.1378640617783473,0.5344056883066941,16.11,1.013024773930734e-14,1.016290316329745e-14,1.016322763883168e-14
781.89,0.0004186930515436688,0.7782898559424859,0.9931028805930345,31.46,0.001848760503253167,0.13673519904288,0.5330180382161755,16.16,9.166134647950776e-15,9.195774137532369e-15,9.196068646435387e-15
788.76,0.0003911066821622324,0.7765999898541998,0.9930448180927965,31.59,0.001801303001563292,0.1356155796958571,0.5316339913297693,16.21,8.29377785681957e-15,8.320679694548241e-15,8.320947001800399e-15
795.7,0.0003650842622010718,0.7748966307065008,0.9929861674272011,31.72,0.001755063729310211,0.1345051280502818,0.5302535382913126,16.25,7.656060063661116e-15,7.680954823995172e-15,7.681202188633376e-15
